outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
ICU Stay in 28 Days,Minocycline,0.1151284490960987,-1.5229130369404766,1.753169935132674,0.8886652891065289,linear,True
ICU Stay in 28 Days,Cefuroxime,-0.32777777777777173,-3.125778938478583,2.4702233829230393,0.8155272587210042,linear,True
ICU Stay in 28 Days,Cefoperazone/Sulbactam,0.3611111111111178,-2.436616390831583,3.1588386130538186,0.7971481170366205,linear,True
ICU Stay in 28 Days,Trimethoprim/Sulfamethoxazole,0.9851648351648368,-0.5182436523956024,2.488573322725276,0.1949304440520076,linear,False
ICU Stay in 28 Days,Cefotaxime,-0.09981167608285851,-2.4045592088798804,2.2049358567141635,0.9312565518988715,linear,True
ICU Stay in 28 Days,Ceftazidime,-1.9654289372599147,-5.217861178875253,1.2870033043554234,0.2314932502797369,linear,True
ICU Stay in 28 Days,Tigecycline,-0.17647058823529327,-2.735399901055132,2.382458724584546,0.8907451052279384,linear,True
ICU Stay in 28 Days,Piperacillin/Tazobactam,-0.9999999999999852,-4.917696595977217,2.917696595977247,0.6115185974518575,linear,True
ICU Stay in 28 Days,Ceftazidime Avibactam,-0.06976744186046879,-3.288171525569222,3.1486366418482845,0.9655571460835924,linear,True
ICU Stay in 28 Days,Nitrofurantoin,-0.34721790488032345,-1.966670424587999,1.272234614827352,0.6695516917808276,linear,True
ICU Stay in 28 Days,Carbapenemase,-2.999999999999979,-14.753089787931657,8.7530897879317,0.6115185974518543,linear,True
ICU Stay in 28 Days,Ceftazidime/Avibactam.T,3.752976190476192,0.33914210234493236,7.166810278607452,0.031742818025359644,linear,False
ICU Stay in 28 Days,Ceftazidime-Avibactam/Aztreonam.T,2.8863636363636367,-0.2963787250956318,6.069105997822906,0.0746741736706929,linear,False
ICU Stay in 28 Days,Ceftazidime-Avibactam/Aztreonam Synergy.T,2.6513944223107577,-0.1700125969221058,5.472801441543622,0.06499825294288439,linear,False
ICU Stay in 28 Days,Polymyxin/Colistin Inclusion.T,2.6499388004895956,-0.4949244660202874,5.794802066999479,0.09708674259076076,linear,False
ICU Stay in 28 Days,Clinical Improvement,-0.5158057054741731,-3.066727562230334,2.0351161512819878,0.6873072202978172,linear,True
ICU Stay in 28 Days,GW Stay in 28 Days,-0.2759039236494029,-0.5074666324624757,-0.04434121483633019,0.020339349276708316,linear,False
ICU Stay in 28 Days,Total Hospital Stay in 28 Days,0.44832476875642374,0.2748750930486039,0.6217744444642436,2.8267108288110123e-06,linear,False
ICU Stay in 28 Days,Mortality in ICU,0.3533333333333311,-3.4011879253861856,4.107854592052848,0.8513194071943002,linear,True
ICU Stay in 28 Days,Mortality in Hospital,-1.6076923076923066,-5.620466251305,2.4050816359203875,0.42605874130895666,linear,True
ICU Stay in 28 Days,Mortality post 28 Day Discharge,0.7500000000000001,-5.286580515835814,6.786580515835814,0.8045791906089086,linear,True
ICU Stay in 28 Days,Overall Mortality,-0.4807692307692284,-3.4851154097827974,2.52357694824434,0.7500069937256968,linear,True
