outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
Mortality post 28 Day Discharge,Any Viral Infection,16.202071507698083,-4554.31196387931,4586.716106894705,0.9944564220834881,logistic,True
Mortality post 28 Day Discharge,Any Fungal Infection,0.4054986269329257,-2.641359801752437,3.4523570556182883,0.7942107956363084,logistic,True
Mortality post 28 Day Discharge,Hemat Malignancy,-14.474528567403707,-2374.4032334465246,2345.4541763117168,0.9904085727444328,logistic,True
Mortality post 28 Day Discharge,Solid Organ,-0.4054389896630544,-3.452312620939599,2.64143464161349,0.7942413848563044,logistic,True
Mortality post 28 Day Discharge,APACHEII,0.0018239723308734568,-0.20338236254060738,0.20703030720235427,0.9861006763553849,logistic,True
Mortality post 28 Day Discharge,SOFA,0.06351031350235248,-0.36404793694145565,0.4910685639461606,0.7709467205716303,logistic,True
Mortality post 28 Day Discharge,TLC,-12.679678806319256,-653.9884701301081,628.6291125174697,0.9690884681902782,logistic,True
Mortality post 28 Day Discharge,ANC,-0.8474199580926991,-3.9316153883683516,2.236775472182953,0.5902154887637366,logistic,True
Mortality post 28 Day Discharge,Lympho,13.458624073038171,-2305.2845533333184,2332.201801479395,0.9909233247250209,logistic,True
Mortality post 28 Day Discharge,Platelet,-12.679678806319822,-653.9884701302905,628.6291125176509,0.9690884681902855,logistic,True
Mortality post 28 Day Discharge,Bil,-14.56978691890447,-3101.3561814207155,3072.216607582907,0.9926187726757827,logistic,True
Mortality post 28 Day Discharge,SGPT,-12.679678806319185,-653.9884701300853,628.6291125174469,0.9690884681902772,logistic,True
Mortality post 28 Day Discharge,SGOT,16.202071506635566,-4554.311958361642,4586.716101374913,0.994456422077158,logistic,True
Mortality post 28 Day Discharge,Albumin,13.458624073187732,-2305.284553333169,2332.2018014795444,0.9909233247249201,logistic,True
Mortality post 28 Day Discharge,Total Protein,13.458624073187732,-2305.284553333169,2332.2018014795444,0.9909233247249201,logistic,True
Mortality post 28 Day Discharge,Globulin,-14.718377319784937,-1103.018320810762,1073.5815661711922,0.9788530069079104,logistic,True
Mortality post 28 Day Discharge,ALP,0.8473033965481221,-2.23687155094558,3.931478344041824,0.5902641458721449,logistic,True
Mortality post 28 Day Discharge,Creatinine,13.335836554911591,-3257.823473897377,3284.4951470072,0.9936246783643501,logistic,True
Mortality post 28 Day Discharge,Sodium,16.202071506626623,-4554.311955602287,4586.7160986155395,0.9944564220738142,logistic,True
Mortality post 28 Day Discharge,Potassium,0.8473033965481218,-2.2368715509455805,3.9314783440418237,0.5902641458721449,logistic,True
Mortality post 28 Day Discharge,Urea,-0.8474199580927184,-3.931615388368372,2.236775472182935,0.5902154887637283,logistic,True
Mortality post 28 Day Discharge,Calcium,-0.40543898966305425,-3.452312620939599,2.64143464161349,0.7942413848563044,logistic,True
Mortality post 28 Day Discharge,Magnesium,0.40549862693292554,-2.641359801752437,3.4523570556182883,0.7942107956363085,logistic,True
Mortality post 28 Day Discharge,P/C+Z-A.E,-11.598644593529816,-1383.9612390550628,1360.7639498680032,0.9867837982306868,logistic,True
Mortality post 28 Day Discharge,P/C only.E,0.8473033965481219,-2.23687155094558,3.931478344041824,0.5902641458721449,logistic,True
Mortality post 28 Day Discharge,Z-A only.E,-11.598644593527835,-1383.961239053699,1360.7639498666435,0.986783798230676,logistic,True
Mortality post 28 Day Discharge,P/C+Z-A.T,2.197120687050239,-1.2598927649926837,5.654134139093161,0.21288775296364393,logistic,True
Mortality post 28 Day Discharge,P/C only.T,-14.979967166111098,-2495.837531166109,2465.8775968338864,0.9905574988634444,logistic,True
Mortality post 28 Day Discharge,Z-A only.T,2.197120687050239,-1.259892764992684,5.654134139093162,0.21288775296364404,logistic,True
Mortality post 28 Day Discharge,Amikacin,8.974657710980973e-06,-1.518178998656493,1.518196947971915,0.9999907555623098,logistic,True
Mortality post 28 Day Discharge,Aztreonam,14.576842112239841,-3779.3478963856264,3808.501580610106,0.9939916007082104,logistic,True
Mortality post 28 Day Discharge,Ciprofloxacin,9.976455636106982,-527.7611890384428,547.7141003106567,0.9709933022519842,logistic,True
Mortality post 28 Day Discharge,Colistin,-14.114904216679975,-4843.265313883918,4815.035505450558,0.9954291919853072,logistic,True
Mortality post 28 Day Discharge,Cefepime,13.810650897864134,-3372.66671453401,3400.288016329738,0.9936225142296428,logistic,True
Mortality post 28 Day Discharge,Gentamicin,-11.598644593529748,-1383.9612390550164,1360.7639498679569,0.9867837982306865,logistic,True
Mortality post 28 Day Discharge,Imipenem,7.182245519706416,-2728.290995158758,2742.6554861981713,0.9958940466383979,logistic,True
Mortality post 28 Day Discharge,Levofloxacin,9.976455636081965,-527.761188903651,547.7141001758149,0.9709933022447879,logistic,True
Mortality post 28 Day Discharge,Meropenem,7.182245519706416,-2728.290995158758,2742.6554861981713,0.9958940466383979,logistic,True
Mortality post 28 Day Discharge,Cefoperazone/Sulbactam,9.976455636090412,-527.7611890384594,547.7141003106403,0.9709933022520324,logistic,True
Mortality post 28 Day Discharge,Ceftazidime,9.976455636059564,-527.7611888137955,547.7141000859145,0.9709933022400069,logistic,True
Mortality post 28 Day Discharge,Piperacillin/Tazobactam,9.976455636106982,-527.7611890384428,547.7141003106567,0.9709933022519842,logistic,True
Mortality post 28 Day Discharge,Carbapenemase,15.65595676273297,-5297.668664829844,5328.980578355309,0.9953921429083278,logistic,True
Mortality post 28 Day Discharge,Clinical improvement,-0.847419958092714,-3.931615388368367,2.236775472182939,0.5902154887637302,logistic,True
Mortality post 28 Day Discharge,ICU Stay in 28 Days,-0.04812488832597396,-0.5205716949101086,0.4243219182581606,0.8417559049975385,logistic,True
Mortality post 28 Day Discharge,GW Stay in 28 Days,-0.11738292367211753,-0.4458099027169391,0.21104405537270407,0.4836090149174448,logistic,True
Mortality post 28 Day Discharge,Total Hospital stay in 28 days,-0.09608539796217254,-0.39557190463410213,0.20340110870975708,0.5294651246078835,logistic,True
Mortality post 28 Day Discharge,Mortality in Hospital,-14.569786918904523,-3101.3561814207974,3072.2166075829887,0.9926187726757829,logistic,True
Mortality post 28 Day Discharge,Overall mortality,16.944783135980813,-4320.684192305749,4354.5737585777115,0.9938910366036113,logistic,True
Mortality post 28 Day Discharge,Relapse post 28 Day Discharge,12.11452822832026,-252.68289723291392,276.9119536895544,0.9285504951600916,logistic,True
Relapse post 28 Day Discharge,Patient ID,0.01043120084138206,-0.05137312060756434,0.07223552229032847,0.7407966801058705,logistic,True
Relapse post 28 Day Discharge,Age,0.05894585441730156,-0.18144508348781407,0.2993367923224172,0.6308012089297852,logistic,True
Relapse post 28 Day Discharge,Male,9.898999577841545,-576.7945786138996,596.5925777695827,0.9736191385848288,logistic,True
Relapse post 28 Day Discharge,Female,-11.684065518178247,-1443.914466718139,1420.5463356817827,0.9872429357360609,logistic,True
Relapse post 28 Day Discharge,Height,17.015686069437976,-1478.6619057577493,1512.6932778966254,0.9822105040257328,logistic,True
Relapse post 28 Day Discharge,Weight,0.04906463541790879,-0.18887597254728716,0.28700524338310474,0.686098643782227,logistic,True
Relapse post 28 Day Discharge,VIM,-11.804574978867036,-2279.51542742712,2255.9062774693857,0.9918596459410822,logistic,True
Relapse post 28 Day Discharge,NDM,12.450960457808385,-1072.7914353706965,1097.6933562863132,0.9820597844760518,logistic,True
Relapse post 28 Day Discharge,P/C in vitro,-11.804574978867207,-2279.515427427313,2255.906277469579,0.9918596459410828,logistic,True
Relapse post 28 Day Discharge,Z-A invitro,-11.684065518177302,-1443.9144667174603,1420.5463356811058,0.9872429357360559,logistic,True
Relapse post 28 Day Discharge,CKD,-11.804574978867219,-2279.5154274273273,2255.906277469593,0.9918596459410828,logistic,True
Relapse post 28 Day Discharge,HTN,-10.3399712715253,-221.48458837050197,200.80464582745134,0.923535287293517,logistic,True
Relapse post 28 Day Discharge,DM,-14.150851907239863,-3799.1889518742832,3770.8872480598034,0.9941534913496018,logistic,True
Relapse post 28 Day Discharge,COPD,-11.804574978867238,-2279.515427427349,2255.906277469615,0.9918596459410829,logistic,True
Relapse post 28 Day Discharge,Hypothyroidism,15.835636562316056,-1685.8885233561475,1717.5597964807796,0.9854484104560924,logistic,True
Relapse post 28 Day Discharge,UTI.CRO,-11.684065518177906,-1443.9144667178948,1420.546335681539,0.9872429357360591,logistic,True
Relapse post 28 Day Discharge,IAI.CRO,-11.804574978870086,-2279.515427430583,2255.9062774728422,0.9918596459410925,logistic,True
Relapse post 28 Day Discharge,HAP.CRO,-14.150851907239264,-3799.1889518731527,3770.887248058674,0.9941534913496004,logistic,True
Relapse post 28 Day Discharge,VAP.CRO,-14.150851907239044,-3799.1889518727357,3770.8872480582577,0.9941534913495998,logistic,True
Relapse post 28 Day Discharge,CAP.CRO,29.587850496686237,-12348.818409182699,12407.99411017607,0.9962620348560601,logistic,True
Relapse post 28 Day Discharge,BSI.CRO,-11.804574978867219,-2279.5154274273273,2255.906277469593,0.9918596459410828,logistic,True
Relapse post 28 Day Discharge,Other.CRO,-11.804574978867238,-2279.515427427349,2255.906277469615,0.9918596459410829,logistic,True
Relapse post 28 Day Discharge,Hospitalization in past 6 Months,-14.39915089623903,-2889.169324457446,2860.3710226649678,0.9921672380230833,logistic,True
