outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
ICU Stay in 28 Days,OXA48,2.9841269841269833,-1.67585658391868,7.644110552172647,0.19722465191333305,linear,True
ICU Stay in 28 Days,P/C in vitro,-3.571428571428572,-11.818930389356382,4.6760732464992385,0.37804560876004034,linear,False
ICU Stay in 28 Days,CAAZ invitro,-1.6785714285714297,-6.769030646324294,3.411887789181435,0.5003721862746567,linear,False
ICU Stay in 28 Days,HTN,-2.1249999999999996,-7.003204304758615,2.7532043047586154,0.3752644431010369,linear,False
ICU Stay in 28 Days,DM,0.9538461538461527,-3.8040316380248016,5.711723945717107,0.6809713793068781,linear,False
ICU Stay in 28 Days,COPD,-0.27272727272727426,-11.885579471177017,11.34012492572247,0.96150863000412,linear,False
ICU Stay in 28 Days,Hypothyroidism,2.4523809523809508,-5.878857284015638,10.78361918877754,0.5470071273365362,linear,False
ICU Stay in 28 Days,CRO based UTI,-1.7058823529411777,-7.043587481170415,3.63182277528806,0.5135227007202159,linear,False
ICU Stay in 28 Days,CRO based IAI,4.134920634920631,-0.34037278033453333,8.610214050175795,0.06835205452656379,linear,True
ICU Stay in 28 Days,CRO based HAP,-1.9285714285714297,-10.288124309013977,6.430981451871117,0.6363482515103889,linear,False
ICU Stay in 28 Days,CRO based BSI,-2.3777777777777804,-8.017347960196867,3.2617924046413056,0.39050757874391195,linear,False
ICU Stay in 28 Days,Other CRO Infections,-2.3636363636363633,-13.92750678406703,9.200234056794303,0.6751097615810258,linear,False
ICU Stay in 28 Days,Hospitalization in past 6 Months,-0.6384615384615401,-5.407195462904968,4.130272385981889,0.7834062854157806,linear,False
ICU Stay in 28 Days,CV Catheter in 6 Months,-4.11904761904762,-12.313800158870816,4.075704920775575,0.30776506150652994,linear,False
ICU Stay in 28 Days,Urinary Catheter in 6 Months,-4.11904761904762,-12.313800158870816,4.075704920775575,0.30776506150652994,linear,False
ICU Stay in 28 Days,Surgery in last 3 Months,-3.6607142857142865,-8.53239142877635,1.2109628573477762,0.13307284567391559,linear,True
ICU Stay in 28 Days,Past CREPA infection,-4.5166666666666675,-11.243656171769873,2.2103228384365377,0.1772089172176797,linear,True
ICU Stay in 28 Days,Endoscopy in 1 week,-5.499999999999999,-16.842129068603338,5.842129068603341,0.3247215873274586,linear,False
ICU Stay in 28 Days,Immunosuppressive drugs in 1 week,3.076923076923073,-1.4919958557834052,7.645842009629551,0.1759638892851618,linear,True
ICU Stay in 28 Days,Inotropes,-1.1307692307692294,-5.880658287839942,3.6191198263014828,0.625685772519222,linear,False
ICU Stay in 28 Days,Ventilation,3.6076923076923064,-0.8805521654614283,8.095936780846042,0.10943684328924362,linear,True
ICU Stay in 28 Days,Overall organ support,2.017857142857143,-3.0471693262385577,7.082883611952843,0.41670593711488235,linear,False
ICU Stay in 28 Days,Neutropenia,-4.454545454545453,-15.890766033410518,6.981675124319612,0.42700455926926484,linear,False
ICU Stay in 28 Days,Any Viral Infection,-2.7,-7.519285771905131,2.1192857719051306,0.2570423091305162,linear,False
ICU Stay in 28 Days,Any Fungal Infection,7.250000000000004,1.9379836386327245,12.562016361367284,0.00984460190475104,linear,True
ICU Stay in 28 Days,Hemat Malignancy,0.8947368421052637,-5.340446029982855,7.129919714193383,0.7683149541320728,linear,False
ICU Stay in 28 Days,Solid Organ,0.1274509803921562,-5.265790227758431,5.520692188542744,0.9612684596558776,linear,False
ICU Stay in 28 Days,APACHEII,-0.025049115913555964,-0.34749161558541664,0.2973933837583047,0.8731998305691954,linear,False
ICU Stay in 28 Days,SOFA,0.08133848133848115,-0.5355238542584371,0.6982008169353993,0.7865990425222525,linear,False
ICU Stay in 28 Days,Haemoglobin,-3.916666666666666,-10.720669690719241,2.8873363573859088,0.24460228436665687,linear,False
ICU Stay in 28 Days,Total Leukocyte Count,1.0294117647058803,-4.343870382254608,6.402693911666369,0.6943484682424429,linear,False
ICU Stay in 28 Days,Absolute Neutrophil Count,0.37499999999999667,-4.769324887709593,5.519324887709586,0.8809530861335129,linear,False
ICU Stay in 28 Days,Absolute Lymphocyte Count,-3.404761904761906,-8.004979174359846,1.195455364836035,0.13869209541115568,linear,True
ICU Stay in 28 Days,Platelet,-0.8484848484848457,-5.574019617913448,3.8770499209437563,0.7125926940702212,linear,False
ICU Stay in 28 Days,Bil,2.1923076923076916,-2.480482528156646,6.865097912772029,0.34032869558993706,linear,False
ICU Stay in 28 Days,SGPT,4.142857142857143,-0.6486345289855793,8.934348814699867,0.0865556383822261,linear,True
ICU Stay in 28 Days,SGOT,1.9393939393939388,-2.7193978735521664,6.598185752340044,0.39642887308051766,linear,False
ICU Stay in 28 Days,Albumin,2.736842105263158,-3.3868660091360474,8.860550219662363,0.3632262674573905,linear,False
ICU Stay in 28 Days,Total Protein,1.8124999999999996,-3.2684925936967733,6.893492593696772,0.4663988627434681,linear,False
ICU Stay in 28 Days,Globulin,3.455357142857144,-1.4471105502426322,8.35782483595692,0.15752944888500683,linear,True
ICU Stay in 28 Days,ALP,0.4615384615384618,-4.311395943259582,5.234472866336505,0.8425579091283049,linear,False
ICU Stay in 28 Days,Creatinine,-0.6666666666666674,-5.509995911271144,4.176662577937808,0.7774905504357066,linear,False
ICU Stay in 28 Days,Sodium,-0.03571428571428359,-5.182827704015843,5.111399132587275,0.9886232823602539,linear,False
